iter	Passed	Remaining
980	48861	249984
981	48909	249929
982	48956	249863
983	49005	249810
984	49055	249761
985	49100	249684
986	49150	249636
987	49193	249552
988	49240	249490
989	49291	249444
990	49343	249408
991	49395	249368
992	49446	249326
993	49497	249279
994	49544	249213
995	49590	249149
996	49643	249111
997	49694	249069
998	49743	249017
999	49791	248958
1000	49839	248900
1001	49889	248849
1002	49940	248808
1003	49995	248780
1004	50042	248719
1005	50099	248706
1006	50152	248672
1007	50199	248607
1008	50254	248582
1009	50303	248528
1010	50356	248493
1011	50406	248444
1012	50457	248402
1013	50507	248353
1014	50560	248316
1015	50610	248270
1016	50658	248211
1017	50709	248168
1018	50760	248123
1019	50820	248122
1020	50871	248079
1021	50926	248055
1022	50978	248016
1023	51030	247974
1024	51076	247908
1025	51123	247845
1026	51171	247784
1027	51216	247712
1028	51265	247658
1029	51311	247589
1030	51365	247560
1031	51414	247506
1032	51462	247448
1033	51515	247411
1034	51562	247351
1035	51610	247292
1036	51659	247238
1037	51707	247181
1038	51758	247134
1039	51813	247109
1040	51868	247083
1041	51913	247012
1042	51956	246931
1043	52005	246876
1044	52052	246813
1045	52101	246759
1046	52155	246728
1047	52204	246673
1048	52253	246623
1049	52304	246580
1050	52355	246533
1051	52407	246496
1052	52458	246450
1053	52507	246394
1054	52554	246331
1055	52603	246279
1056	52650	246214
1057	52695	246144
1058	52744	246093
1059	52790	246025
1060	52844	245993
1061	52899	245968
1062	52947	245907
1063	52993	245841
1064	53044	245799
1065	53093	245742
1066	53140	245683
1067	53187	245619
1068	53236	245563
1069	53280	245486
1070	53328	245429
1071	53378	245383
1072	53433	245355
1073	53481	245299
1074	53529	245237
1075	53580	245195
1076	53628	245139
1077	53676	245077
1078	53727	245033
1079	53778	244990
1080	53830	244950
1081	53878	244892
1082	53921	244813
1083	53977	244791
1084	54025	244733
1085	54077	244694
1086	54127	244644
1087	54175	244587
1088	54227	244544
1089	54275	244487
1090	54325	244437
1091	54372	244376
1092	54421	244324
1093	54467	244258
1094	54520	244220
1095	54568	244162
1096	54616	244105
1097	54662	244039
1098	54710	243983
1099	54760	243930
1100	54811	243889
1101	54867	243865
1102	54916	243814
1103	54980	243826
1104	55030	243778
1105	55083	243742
1106	55131	243685
1107	55175	243607
1108	55222	243545
